Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
200,256,0.0005,0.000001,0.0000,0.9666
200,512,0.0005,0.000001,0.0000,0.9659
200,1024,0.0010,0.000001,0.0000,0.9658
200,1024,0.0005,0.000001,0.0000,0.9642
200,256,0.0002,0.000001,0.0000,0.9641
200,512,0.0010,0.000001,0.0000,0.9620
200,512,0.0002,0.000001,0.0000,0.9585
200,1024,0.0002,0.000001,0.0000,0.9571
200,256,0.0001,0.000001,0.0000,0.9562
200,512,0.0001,0.000001,0.0000,0.9541
200,1024,0.0001,0.000001,0.0000,0.9534
200,256,0.0010,0.000001,0.0000,0.9502
