epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,9.999013075636804e-05,3.678882793549004,0.037927072495222,3.39397015953064,0.0564377009868621,0.0720363482832908
1,9.996052735444864e-05,3.2151019420098823,0.0744088441133499,3.0791281986236574,0.0835253149271011,0.1069345250725746
2,9.99112027792722e-05,2.9582309471357853,0.0850871801376342,2.8677367057800294,0.0920468047261238,0.1173394098877906
3,9.98421786662277e-05,2.75811764843967,0.0935195907950401,2.657107189178467,0.095631830394268,0.1222714781761169
4,9.97534852915723e-05,2.605110981048794,0.0957085564732551,2.5254125022888183,0.0956401601433754,0.1219711676239967
5,9.964516155915153e-05,2.4917149193789982,0.098040722310543,2.415644470214844,0.1007144823670387,0.1285245269536972
6,9.951725498333448e-05,2.3866659227861176,0.1021714061498642,2.3276729869842527,0.1063997745513916,0.1355302929878235
7,9.936982166817271e-05,2.3038393379351416,0.1067738384008407,2.245940288543701,0.1093819141387939,0.1379752308130264
8,9.9202926282791e-05,2.238788809251348,0.1095544323325157,2.198190807342529,0.1116762161254882,0.140967771410942
9,9.901664203302125e-05,2.1881499574818744,0.1116334050893783,2.141312744140625,0.1119563728570938,0.1411559283733368
10,9.88110506292922e-05,2.154169747042,0.1137319728732109,2.1178859367370606,0.1140565872192382,0.1455610990524292
11,9.858624225078838e-05,2.125365769644396,0.1179335638880729,2.0669592151641845,0.1217055842280387,0.1564936637878418
12,9.83423155058946e-05,2.090266523558065,0.1235321462154388,2.029673442840576,0.1273123621940612,0.163451537489891
13,9.8079377388943e-05,2.067123611038978,0.1268930733203888,2.065148681640625,0.1268471330404281,0.1640716344118118
14,9.77975432332819e-05,2.0504627003582248,0.1289515197277069,1.9957728118896485,0.1319692581892013,0.1693694442510604
15,9.749693666068664e-05,2.0245349751699955,0.1318084895610809,1.993272869110108,0.1326785534620285,0.169958546757698
16,9.71776895271351e-05,2.005030861141485,0.1336514055728912,2.0077741146087646,0.1312628388404846,0.1689678877592086
17,9.68399418649713e-05,1.992400311001944,0.1347454190254211,1.9839806575775147,0.1319336891174316,0.16917385160923
18,9.648384182148252e-05,1.9862255601707948,0.1349477022886276,1.9418645305633544,0.1383502632379531,0.1762719303369522
19,9.610954559391702e-05,1.9730935534206004,0.1362152397632599,1.931404504776001,0.1378630399703979,0.1760040074586868
20,9.571721736097086e-05,1.963266909122467,0.1373069286346435,1.993484790802002,0.130946397781372,0.1693226993083953
21,9.530702921077356e-05,1.9494152916680785,0.1386213451623916,1.8982217655181888,0.1409237831830978,0.1788344085216522
22,9.487916106540464e-05,1.9341618024974787,0.1400718986988067,1.9068501052856448,0.1388390958309173,0.1769114881753921
23,9.443380060197384e-05,1.9263057435324435,0.140609785914421,1.8737478370666505,0.1420931816101074,0.1800624579191208
24,9.397114317029972e-05,1.913928030827724,0.1417022943496704,1.8928941249847413,0.1396296620368957,0.1775902658700943
25,9.349139170722276e-05,1.909146267886556,0.1421467959880828,1.8864223308563235,0.1407537907361984,0.1784341037273407
26,9.299475664759064e-05,1.894220004934784,0.1437281817197799,1.83212533569336,0.1467595398426056,0.184649109840393
27,9.248145583195444e-05,1.883298723522676,0.1446616202592849,1.8903602447509769,0.1392891407012939,0.176790252327919
28,9.195171441101665e-05,1.8699563058144453,0.1460660994052887,1.8132126789093013,0.1484330296516418,0.1862664371728897
27,9.298122170004238e-05,1.879953315498632,0.1451954841613769,1.881639549255371,0.1432020366191864,0.1811981201171875
28,9.294062568662064e-05,1.875238987830801,0.1456848680973053,1.943199375152588,0.1375458091497421,0.1759000867605209
29,9.28729950892351e-05,1.8678553180957056,0.1465800404548645,1.8364087181091309,0.148297980427742,0.1873313337564468
30,9.277837402520717e-05,1.8619197514079036,0.1476529240608215,1.8157990856170652,0.148561343550682,0.1875923126935959
31,9.2656824218491e-05,1.8507636648799304,0.1492024660110473,1.7905092163085938,0.152895301580429,0.1921314150094986
32,9.250842495940924e-05,1.846848205142065,0.1503810733556747,1.8262495346069336,0.1476220041513443,0.1876582354307174
33,9.233327305292977e-05,1.835663712352788,0.1517555862665176,1.7957077541351318,0.1532156318426132,0.1943635940551757
34,9.21314827555171e-05,1.8316964228218848,0.1530102789402008,1.7883260440826416,0.1541958451271057,0.195540964603424
35,9.190318570059976e-05,1.8249798756126965,0.1538816541433334,1.7700623626708984,0.1568776220083236,0.1975542604923248
36,9.164853081270208e-05,1.818845797022548,0.15474633872509,1.7809844436645508,0.155206561088562,0.1964666992425918
37,9.136768421029656e-05,1.8219770351681144,0.1547013521194458,1.752674295425415,0.1589569747447967,0.2004466354846954
38,9.106082909744026e-05,1.8160518205493963,0.1560872048139572,1.729534843444824,0.1639754176139831,0.2056061327457428
39,9.07281656442656e-05,1.8124329797718504,0.1566249430179596,1.7417982482910157,0.1618684232234954,0.2037197202444076
40,9.036991085640388e-05,1.807104441004062,0.157069057226181,1.759454921722412,0.1605309695005417,0.2024391889572143
41,8.998629843342642e-05,1.8094469122930403,0.157289519906044,1.7725601043701171,0.1565621048212051,0.1987864971160888
42,8.957757861639583e-05,1.8026795693493765,0.15812449157238,1.73555615234375,0.1633111089468002,0.2052101790904998
43,8.914401802462683e-05,1.7941758025676833,0.1587603539228439,1.765471248626709,0.160537376999855,0.2028292119503021
39,9.104459695492204e-05,1.809872113783425,0.15644413232803345,1.7820250930786132,0.15884889662265778,0.20079919695854187
40,9.09959135290824e-05,1.8146764258725927,0.156330868601799,1.766670907974243,0.15839649736881256,0.20048023760318756
41,9.091481781465235e-05,1.807921887537755,0.15706774592399597,1.7502090167999267,0.16145522892475128,0.2039431929588318
42,9.080137476814465e-05,1.8053069874780987,0.15764804184436798,1.7194212455749511,0.16557253897190094,0.20761632919311523
43,9.065567525582447e-05,1.7999477266171657,0.15798059105873108,1.7413658447265625,0.1611781269311905,0.20372460782527924
44,9.047783598092693e-05,1.7974712329173306,0.15909847617149353,1.7633434448242187,0.15794648230075836,0.2002502828836441
45,9.026799939017939e-05,1.7951949058322731,0.15871073305606842,1.7268928813934326,0.16200374066829681,0.20399069786071777
46,9.002633355970364e-05,1.798783346053657,0.1589135378599167,1.7238420066833495,0.16294926404953003,0.20502682030200958
47,8.975303206038944e-05,1.79216420595799,0.1599845439195633,1.7677578029632568,0.1577291041612625,0.20096319913864136
48,8.944831380284677e-05,1.7830878261032455,0.1611884981393814,1.906871789932251,0.14866675436496735,0.19125619530677795
49,8.911242286206181e-05,1.788152185055094,0.16085010766983032,1.7249878158569336,0.1633610725402832,0.20660561323165894
50,8.874562828189615e-05,1.7904437151523904,0.1607082486152649,1.7941670150756837,0.1598537564277649,0.2035018652677536
51,8.834822385958656e-05,1.777355060118054,0.1625414937734604,1.7263229312896728,0.16398434340953827,0.20684459805488586
52,8.792052791041765e-05,1.774986481994664,0.16254939138889313,1.8211402282714844,0.1558282971382141,0.19876685738563538
53,8.746288301275571e-05,1.7770144868334499,0.16244067251682281,1.739198657989502,0.16352947056293488,0.20668499171733856
54,8.697565573364846e-05,1.7655636690078524,0.16387681663036346,1.7630424766540527,0.16265058517456055,0.2061121165752411
55,8.645923633520998e-05,1.7657173762627698,0.16390830278396606,1.824932336807251,0.15416471660137177,0.19789038598537445
56,8.591403846202635e-05,1.7644249567198098,0.16408061981201172,1.7028233795166015,0.16914837062358856,0.21248838305473328
57,8.534049880983219e-05,1.7584987403055943,0.16495466232299805,1.704657512664795,0.16720344126224518,0.21039199829101562
58,8.473907677572363e-05,1.7518975991721546,0.16599489748477936,1.7304694175720214,0.16415998339653015,0.20764388144016266
59,8.411025409018775e-05,1.7600016599401422,0.16478231549263,1.700488676071167,0.16927531361579895,0.21311619877815247
60,8.345453443124336e-05,1.756113631462832,0.16564753651618958,1.7062924079895019,0.16761252284049988,0.211485356092453
61,8.277244302100202e-05,1.7465147933828722,0.16653156280517578,1.6633723793029784,0.17356784641742706,0.21667636930942535
62,8.206452620497264e-05,1.7439250295315314,0.16703028976917267,1.7374379081726075,0.16639529168605804,0.21105292439460754
63,8.133135101444648e-05,1.7434563915663903,0.16706235706806183,1.6826342716217042,0.1725165843963623,0.21626222133636475
64,8.057350471231325e-05,1.748904581463665,0.16626523435115814,1.6935218296051024,0.17003311216831207,0.21450768411159515
65,7.979159432267173e-05,1.7419792085612587,0.167745441198349,1.712817901611328,0.16540522873401642,0.2086358517408371
