epoch,lr,loss,iou,val_loss,val_iou,val_dice
7,9.972229946204414e-05,0.8572482581532329,0.189719449986886,0.8651121768951416,0.19766963947723665,0.32977287420812607
8,9.97044704365086e-05,0.8637937553432009,0.18508719741372093,0.9460751948356628,0.10508550194532443,0.1899340723702447
9,9.967476064280309e-05,0.8517306025968779,0.19011636557606204,0.8638659853935242,0.17910095170061566,0.30341296970825693
10,9.963317795274797e-05,0.8485831066009102,0.19071806847182587,0.8662828459739685,0.20587726736056894,0.3410569542784919
11,9.957973338397161e-05,0.8369414478267004,0.18778931179556405,0.8518373608589173,0.15128758090611227,0.2624823737835092
12,9.951444109699119e-05,0.8157249989859555,0.1833681686342047,0.8370629262924194,0.18825555523887658,0.31632846315229507
13,9.943731839146077e-05,0.8171608683166154,0.17999069512059088,0.8506137566566467,0.14665347571903553,0.25539711900145834
14,9.934838570158765e-05,0.8117338675971425,0.1878501611777279,0.8584907565116883,0.1897405376792974,0.31812753051853565
15,9.924766659071815e-05,0.8142295960986287,0.1815391871622466,0.8325129194259644,0.1650206969285945,0.28184217973285586
16,9.913518774509434e-05,0.8051112627764361,0.19091863409167156,0.8135412034988403,0.19644168558769928,0.327979589108686
